,seed,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
872,8,10,860.6295382976532,0.0005,3,10,0.5,50,central,-15.357404690707819,0.25946563226315483,
873,8,10,860.6295382976532,0.0005,3,10,0.5,50,local,-16.24035344082947,0.7954449628466421,0.756330354077694
874,8,10,860.6295382976532,0.0005,3,10,0.5,50,fl,-15.822212597167587,0.6431801488800374,0.595991784903212
888,7,10,1407.734759569168,0.0005,3,10,1.0,100,central,-15.275112022959854,0.1601360846403863,
889,7,10,1407.734759569168,0.0005,3,10,1.0,100,local,-15.570259749822815,0.4778779766879081,0.4511912766795332
890,7,10,1407.734759569168,0.0005,3,10,1.0,100,fl,-15.400915240236063,0.333540205681985,0.2940787028625043
892,1,10,1346.5928490161896,0.0005,3,10,1.0,10,central,-15.530279730549811,0.5060418705914244,
893,1,10,1346.5928490161896,0.0005,3,10,1.0,10,local,-47.06702567237771,1.7343177789263264,1.6569827433688444
894,1,10,1346.5928490161896,0.0005,3,10,1.0,10,fl,-17.297085817320728,1.1780806715809455,1.0604546631560463
908,9,10,158.26485133171082,0.0005,3,10,0.0,50,central,-15.354439719573218,0.24230075166206846,
909,9,10,158.26485133171082,0.0005,3,10,0.0,50,local,-16.13004870125811,0.7677865261980428,0.727780630519659
910,9,10,158.26485133171082,0.0005,3,10,0.0,50,fl,-16.135503475533348,0.7680103004968009,0.7287421289769795
912,1,10,243.871013879776,0.0005,3,10,0.0,25,central,-15.359802484034049,0.3122228761368205,
913,1,10,243.871013879776,0.0005,3,10,0.0,25,local,-17.408533565459113,1.1091519337551696,1.0653302639593236
914,1,10,243.871013879776,0.0005,3,10,0.0,25,fl,-17.42454811780249,1.110093478526219,1.0667281881235549
924,4,10,1465.4834604263306,0.0005,3,10,1.0,50,central,-15.310362729433672,0.1977704690954976,
925,4,10,1465.4834604263306,0.0005,3,10,1.0,50,local,-15.958876642756607,0.7222226923436716,0.6948717216650795
926,4,10,1465.4834604263306,0.0005,3,10,1.0,50,fl,-15.54751745433567,0.49749368141457245,0.4528646633356013
936,5,10,1418.4014356136322,0.0005,3,10,1.0,50,central,-15.347824538140497,0.20471702346505652,
937,5,10,1418.4014356136322,0.0005,3,10,1.0,50,local,-16.065598017815837,0.7636683064709496,0.7386321934927318
938,5,10,1418.4014356136322,0.0005,3,10,1.0,50,fl,-15.60139794726586,0.524264569222924,0.48435144286488907
