,seed,shift_scale,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
1108,9,1.0,10,1377.1444246768951,0.0005,3,10,1.0,50,central,-18.38198170287461,1.2152288249297982,
1109,9,1.0,10,1377.1444246768951,0.0005,3,10,1.0,50,local,-16.014767077638066,3.2088942071494193,2.984194931434268
1110,9,1.0,10,1377.1444246768951,0.0005,3,10,1.0,50,fl,-16.152062031696715,2.2620100840558175,1.9262619002309727
1124,4,0.2,10,1342.710078239441,0.0005,3,10,1.0,25,central,-15.543689746940544,0.3261052835040255,
1125,4,0.2,10,1342.710078239441,0.0005,3,10,1.0,25,local,-17.575922422776777,1.2839780120377775,1.2460835067658045
1126,4,0.2,10,1342.710078239441,0.0005,3,10,1.0,25,fl,-15.93887884222128,0.8626491543327468,0.8056603461382078
1236,8,2.0,10,1370.7733657360077,0.0005,3,10,1.0,50,central,-23.06223776257819,1.8311464665293211,
1237,8,2.0,10,1370.7733657360077,0.0005,3,10,1.0,50,local,-16.1260549285342,6.54367167332334,6.246982107672862
1238,8,2.0,10,1370.7733657360077,0.0005,3,10,1.0,50,fl,-18.222389467932278,4.440446763671192,4.041887014338288
1244,2,2.0,10,1362.3123331069946,0.0005,3,10,1.0,25,central,-23.030823702948357,2.2603197947802998,
1245,2,2.0,10,1362.3123331069946,0.0005,3,10,1.0,25,local,-17.226748295574968,6.53869739228889,6.104897041231689
1246,2,2.0,10,1362.3123331069946,0.0005,3,10,1.0,25,fl,-18.188672327637715,4.748126888279788,4.116347900451421
1248,9,0.2,10,1422.1014778614044,0.0005,3,10,1.0,10,central,-15.86356547563833,0.6531046442124464,
1249,9,0.2,10,1422.1014778614044,0.0005,3,10,1.0,10,local,-52.41827292834714,1.8362443510957807,1.716710592451366
1250,9,0.2,10,1422.1014778614044,0.0005,3,10,1.0,10,fl,-17.401067915228538,1.2875779069153777,1.1059810284181477
1252,9,2.0,10,1247.304720878601,0.0005,3,10,1.0,100,central,-22.561547350656568,2.470718553717621,
1253,9,2.0,10,1247.304720878601,0.0005,3,10,1.0,100,local,-15.64136081734867,6.314713119080583,5.846435359774655
1254,9,2.0,10,1247.304720878601,0.0005,3,10,1.0,100,fl,-17.889325812538857,4.512375541293554,3.7899788283088673
1260,0,1.0,10,1366.7966997623444,0.0005,3,10,1.0,25,central,-18.46468991653433,0.981212880475811,
1261,0,1.0,10,1366.7966997623444,0.0005,3,10,1.0,25,local,-17.939469871434785,3.2495218679749187,3.1192781274991352
1262,0,1.0,10,1366.7966997623444,0.0005,3,10,1.0,25,fl,-16.278949013199245,2.237471214191383,2.0333264650945138
1280,7,0.2,10,1411.666501045227,0.0005,3,10,1.0,25,central,-15.58811977477624,0.43667267642189384,
1281,7,0.2,10,1411.666501045227,0.0005,3,10,1.0,25,local,-17.50880060719208,1.1942013787740864,1.11674428959699
1282,7,0.2,10,1411.666501045227,0.0005,3,10,1.0,25,fl,-15.993763872930122,0.8377704656827921,0.7223254863480224
1388,5,2.0,10,1219.9520363807678,0.0005,3,10,1.0,100,central,-22.314514461540387,2.122765044684128,
1389,5,2.0,10,1219.9520363807678,0.0005,3,10,1.0,100,local,-15.589356985916528,5.97524044899526,5.598439428197969
1390,5,2.0,10,1219.9520363807678,0.0005,3,10,1.0,100,fl,-17.657673566535557,4.185118878350819,3.612267224888319
1392,5,0.2,10,1273.8469803333282,0.0005,3,10,1.0,10,central,-15.747167791814713,0.5762292517637172,
1393,5,0.2,10,1273.8469803333282,0.0005,3,10,1.0,10,local,-102.791315478723,1.853229639217308,1.7711415389708318
1394,5,0.2,10,1273.8469803333282,0.0005,3,10,1.0,10,fl,-17.352676131540246,1.2875477733041607,1.1512544404022715
1408,4,2.0,10,1415.205484867096,0.0005,3,10,1.0,50,central,-22.734601953383464,1.6455603300443034,
1409,4,2.0,10,1415.205484867096,0.0005,3,10,1.0,50,local,-16.020393286773814,6.1738986055232665,5.9701729505183305
1410,4,2.0,10,1415.205484867096,0.0005,3,10,1.0,50,fl,-17.95881189686519,4.192431846702169,3.8736027119377483
1416,6,1.0,10,1225.5530896186829,0.0005,3,10,1.0,50,central,-18.277479177558995,1.045409595968451,
1417,6,1.0,10,1225.5530896186829,0.0005,3,10,1.0,50,local,-16.043359378429216,3.1421534340677875,2.976819980640181
1418,6,1.0,10,1225.5530896186829,0.0005,3,10,1.0,50,fl,-16.11058268673905,2.2171427040100613,1.9598112187166972
1420,7,1.0,10,1275.1724755764008,0.0005,3,10,1.0,100,central,-18.390115054012647,0.6482453917058248,
1421,7,1.0,10,1275.1724755764008,0.0005,3,10,1.0,100,local,-15.676613230024014,3.0386372033484,2.9716501881349937
1422,7,1.0,10,1275.1724755764008,0.0005,3,10,1.0,100,fl,-16.044065452808976,2.042594863205263,1.9459234188441321
1432,2,1.0,10,1208.1252055168152,0.0005,3,10,1.0,10,central,-18.71653219322166,1.1391863083465716,
1433,2,1.0,10,1208.1252055168152,0.0005,3,10,1.0,10,local,-51.238225219084654,3.7637305074249583,3.5918841680732876
1434,2,1.0,10,1208.1252055168152,0.0005,3,10,1.0,10,fl,-17.624486092938078,2.839112534037038,2.5597835874649366
1444,1,0.2,10,1327.7025394439697,0.0005,3,10,1.0,50,central,-15.514053939844526,0.39533131040902586,
1445,1,0.2,10,1327.7025394439697,0.0005,3,10,1.0,50,local,-16.186121067452017,0.9536064399408121,0.8652879380376886
1446,1,0.2,10,1327.7025394439697,0.0005,3,10,1.0,50,fl,-15.679199644263369,0.6870601243879526,0.5700521863250438
1448,0,2.0,10,1179.4606862068176,0.0005,3,10,1.0,10,central,-22.78804298001269,1.7049500858101319,
1449,0,2.0,10,1179.4606862068176,0.0005,3,10,1.0,10,local,-66.38199062630704,6.271724283641855,6.054116311625827
1450,0,2.0,10,1179.4606862068176,0.0005,3,10,1.0,10,fl,-22.636663485054477,5.473945495896869,5.031895405957044
