,seed,D,runtime_sec,lr,K,n_clients,lambda,N,alpha,algorithm,Log-likelihood,err_true,err_central
608,3,10,1480.4591236114502,0.0005,3,10,1,100,0.2,central,-15.25818437047318,0.22267229174606892,
609,3,10,1480.4591236114502,0.0005,3,10,1,100,0.2,local,-15.895397679886912,6.064840243578428,6.035543670889436
610,3,10,1480.4591236114502,0.0005,3,10,1,100,0.2,fl,-15.591963143459633,4.2222652198052675,4.182386002219178
624,8,10,1323.9678440093994,0.0005,3,10,1,100,1.0,central,-15.367860896952223,0.20783412092113282,
625,8,10,1323.9678440093994,0.0005,3,10,1,100,1.0,local,-15.968460692829675,1.8302645113113187,1.7958414054920566
626,8,10,1323.9678440093994,0.0005,3,10,1,100,1.0,fl,-16.22906663095324,1.1098729847458029,1.0921952895266294
648,2,10,1382.0389235019684,0.0005,3,10,1,10,10.0,central,-15.600159985029757,0.5370879334286942,
649,2,10,1382.0389235019684,0.0005,3,10,1,10,10.0,local,-55.249789630906186,1.6334114789637582,1.5496295048371433
650,2,10,1382.0389235019684,0.0005,3,10,1,10,10.0,fl,-18.107420903032427,1.307319398335619,1.212776158514612
656,8,10,1298.9617938995361,0.0005,3,10,1,50,1.0,central,-15.391595229010926,0.24655384130575866,
657,8,10,1298.9617938995361,0.0005,3,10,1,50,1.0,local,-18.0689688124428,2.557297817135816,2.5202487762689385
658,8,10,1298.9617938995361,0.0005,3,10,1,50,1.0,fl,-16.43790210063709,3.0829072599768095,3.021056703646823
660,9,10,1346.297993183136,0.0005,3,10,1,10,0.2,central,-15.629363532501836,0.5840706451327297,
661,9,10,1346.297993183136,0.0005,3,10,1,10,0.2,local,-59.095634214432415,10.747141664396553,10.712521867485837
662,9,10,1346.297993183136,0.0005,3,10,1,10,0.2,fl,-18.31185940013652,9.071929543917776,8.967114015467615
668,7,10,1386.5085999965668,0.0005,3,10,1,25,0.2,central,-15.301885673548279,0.38312048996579834,
669,7,10,1386.5085999965668,0.0005,3,10,1,25,0.2,local,-22.32095888952474,9.792210029152665,9.748695729634148
670,7,10,1386.5085999965668,0.0005,3,10,1,25,0.2,fl,-16.302493213384487,7.441148558491231,7.369622175275053
672,4,10,1489.936297416687,0.0005,3,10,1,50,10.0,central,-15.278441277096766,0.26846727890590466,
673,4,10,1489.936297416687,0.0005,3,10,1,50,10.0,local,-16.068822271635746,0.8001823286881337,0.7528177283268027
674,4,10,1489.936297416687,0.0005,3,10,1,50,10.0,fl,-15.53890548610855,0.5552615599159478,0.4832158834071576
708,0,10,1375.3681914806366,0.0005,3,10,1,25,1.0,central,-15.258865715109403,0.4278821611982438,
709,0,10,1375.3681914806366,0.0005,3,10,1,25,1.0,local,-21.68496180747039,2.570532733214661,2.477602958661317
710,0,10,1375.3681914806366,0.0005,3,10,1,25,1.0,fl,-16.48564721817296,2.439855539046028,2.2596821043249053
728,9,10,1206.058676481247,0.0005,3,10,1,100,10.0,central,-15.228013942339254,0.2314013277143472,
729,9,10,1206.058676481247,0.0005,3,10,1,100,10.0,local,-15.532859649491254,0.5406775855067304,0.4904877692982271
730,9,10,1206.058676481247,0.0005,3,10,1,100,10.0,fl,-15.370032863601754,0.4098810980885448,0.33444435003077955
752,8,10,1358.2245953083038,0.0005,3,10,1,25,10.0,central,-15.419245775321627,0.28012238524328087,
753,8,10,1358.2245953083038,0.0005,3,10,1,25,10.0,local,-18.54354315157089,1.1091826669184455,1.0813143117631911
754,8,10,1358.2245953083038,0.0005,3,10,1,25,10.0,fl,-16.128585992103176,0.7464054553428907,0.696296520132227
756,1,10,1308.6619358062744,0.0005,3,10,1,10,10.0,central,-15.54917754642607,0.4712583318348272,
757,1,10,1308.6619358062744,0.0005,3,10,1,10,10.0,local,-80.78412084263375,1.698204323017626,1.63884280903194
758,1,10,1308.6619358062744,0.0005,3,10,1,10,10.0,fl,-18.069151397761708,1.473261446388135,1.3788551288649675
780,4,10,1350.6007475852966,0.0005,3,10,1,25,0.2,central,-15.314195444611872,0.25362564822297534,
781,4,10,1350.6007475852966,0.0005,3,10,1,25,0.2,local,-26.501678926776357,9.95418608193979,9.925210342698959
782,4,10,1350.6007475852966,0.0005,3,10,1,25,0.2,fl,-16.671115920514932,7.096035471001686,7.0488805907866166
784,7,10,1369.2853336334229,0.0005,3,10,1,50,10.0,central,-15.221698190958383,0.23263892272209216,
785,7,10,1369.2853336334229,0.0005,3,10,1,50,10.0,local,-16.0150789727396,0.7801104812811459,0.7424449024816375
786,7,10,1369.2853336334229,0.0005,3,10,1,50,10.0,fl,-15.489090264683261,0.5369321011221035,0.48284971409978994
792,3,10,1301.7258336544037,0.0005,3,10,1,25,1.0,central,-15.313482599753561,0.3985371481069178,
793,3,10,1301.7258336544037,0.0005,3,10,1,25,1.0,local,-22.744401026048777,2.5594396181972914,2.5157497646756117
794,3,10,1301.7258336544037,0.0005,3,10,1,25,1.0,fl,-17.421652612345547,3.054406993435336,2.989167874343848
816,5,10,1380.4335107803345,0.0005,3,10,1,100,10.0,central,-15.290927167568938,0.1746851361661346,
817,5,10,1380.4335107803345,0.0005,3,10,1,100,10.0,local,-15.648862073558698,0.5945177375794406,0.5658068386993567
818,5,10,1380.4335107803345,0.0005,3,10,1,100,10.0,fl,-15.438130380397936,0.40539095783787904,0.36499824744678727
824,7,10,1237.2915732860565,0.0005,3,10,1,100,1.0,central,-15.208081989389674,0.19126391738906304,
825,7,10,1237.2915732860565,0.0005,3,10,1,100,1.0,local,-16.53552084396502,2.750169536421583,2.727252942792016
826,7,10,1237.2915732860565,0.0005,3,10,1,100,1.0,fl,-16.152598372844082,1.9247297151372738,1.9200598465415546
828,4,10,1340.2921686172485,0.0005,3,10,1,25,10.0,central,-15.327440763085104,0.4229160515841064,
829,4,10,1340.2921686172485,0.0005,3,10,1,25,10.0,local,-17.77865042604749,1.1465239960699511,1.0580826596631199
830,4,10,1340.2921686172485,0.0005,3,10,1,25,10.0,fl,-15.922022586972119,0.7936333907696952,0.6686805534845134
840,8,10,1545.2428150177002,0.0005,3,10,1,25,0.2,central,-15.427337656625383,0.36999262566091956,
841,8,10,1545.2428150177002,0.0005,3,10,1,25,0.2,local,-21.64667653582167,10.435503438474885,10.379863595722767
842,8,10,1545.2428150177002,0.0005,3,10,1,25,0.2,fl,-16.976738567694824,7.937782057709957,7.877813117250762
852,7,10,1389.710123538971,0.0005,3,10,1,50,1.0,central,-15.261903525421735,0.3094925275941416,
853,7,10,1389.710123538971,0.0005,3,10,1,50,1.0,local,-19.832288892093594,2.559591058411078,2.511058184245566
854,7,10,1389.710123538971,0.0005,3,10,1,50,1.0,fl,-17.760573785651356,4.108462867689148,4.075949703364576
856,6,10,1284.7932772636414,0.0005,3,10,1,10,0.2,central,-15.563487306456878,0.515643042857925,
857,6,10,1284.7932772636414,0.0005,3,10,1,10,0.2,local,-59.80832311558597,12.870657096634588,12.81059268250971
858,6,10,1284.7932772636414,0.0005,3,10,1,10,0.2,fl,-22.749446208245296,11.39551938157239,11.352608139611522
868,1,10,1257.7611680030823,0.0005,3,10,1,10,1.0,central,-15.77362956183868,0.7320025874287075,
869,1,10,1257.7611680030823,0.0005,3,10,1,10,1.0,local,-71.17780563923952,5.400983925048472,5.264076792943624
870,1,10,1257.7611680030823,0.0005,3,10,1,10,1.0,fl,-20.40661806531477,5.999560158762506,5.832170517690018
872,0,10,1479.385113954544,0.0005,3,10,1,50,0.2,central,-15.192813456968139,0.23499550766785893,
873,0,10,1479.385113954544,0.0005,3,10,1,50,0.2,local,-16.887160642232754,6.287676628054189,6.268296780572279
874,0,10,1479.385113954544,0.0005,3,10,1,50,0.2,fl,-15.921244330051953,4.960825224027959,4.932682906610935
888,0,10,1385.9881851673126,0.0005,3,10,1,100,0.2,central,-15.198743566971757,0.21650042837267447,
889,0,10,1385.9881851673126,0.0005,3,10,1,100,0.2,local,-15.511387468365706,5.09257182802849,5.072576711151721
890,0,10,1385.9881851673126,0.0005,3,10,1,100,0.2,fl,-14.965266195328379,3.538960350290169,3.521858973288375
